Feature_name;Group;364_203.22013_58.08;366_151.03313_60.77;1606_241.99908_60.98;1601_218.98167_61.22;1604_182.95986_61.23;370_154.13169_62.52;371_145.16729_62.84;372_168.1479_63.46;1611_185.95768_66.68;1613_169.98359_67.8;1614_162.01821_67.68;1615_235.16304_67.96;378_180.00438_68.96;1625_190.04718_68.03;380_143.07916_69.46;1624_198.08495_69.22;1632_179.00245_69.58;1640_140.03628_69.5;1645_146.11527_69.93;1668_184.0651_69.63;1619_168.06684_69.51;1626_187.10489_69.52;1634_162.11089_69.35;1638_155.07952_69.96;1659_144.09935_70.83;1660_190.10454_70.07;1648_176.12525_71.18;1649_200.11988_71.6;1653_212.10215_71.84;1679_196.07246_71.6;1680_170.11511_71.61;1698_174.11287_71.3;1664_185.08854_71.26;1666_204.12147_71.58;1686_241.15237_72.64;1654_199.10465_72.11;1713_201.08432_75.17;402_204.13031_89.27;1717_176.12565_89.24;1722_206.13452_89.11;1716_199.10457_89.13;1731_268.1032_89.91;1735_154.05885_89.32;1734_136.05966_90.88;1750_137.04436_94.87;1752_241.15223_94.47;1753_148.11271_97.63;1754_152.05471_98.37;1757_201.08427_103.37;1760_218.13531_103.75;413_254.16062_105.79;1766_136.04902_108.81;415_189.09992_109.32;1769_160.07509_115.28;1773_212.08909_122.86;418_177.09981_123.6;423_367.14706_131.15;1779_166.08435_140.44;428_177.09945_169.36;437_243.1679_250.96;439_133.07411_252.24;1827_188.06824_252.44;442_230.20851_254.34;447_227.17278_268.07;1839_206.04277_275.93;450_193.09308_285.18;454_144.07941_287.22;1849_188.06838_303.97;1850_247.14195_304.15;467_334.14902_324.25;468_316.20948_330.36;473_287.23111_342.45;479_201.13422_350.97;503_234.99398_365.57;513_173.10377_382.22;553_205.07665_434.84;556_207.07459_435.5;558_325.05386_437.97;561_1020.95076_445.78;565_816.56357_446.61;570_1020.20166_447.52;593_1014.69279_462.37;599_1013.19041_463.43;620_1007.68216_479.87;625_1343.57179_481.65;632_174.18259_485.52;633_218.20877_485.54;639_264.01555_489.03;1884_569.04746_504.2;655_328.13833_505.28;677_271.02398_521.86;1888_539.0388_522.08;1890_541.03354_523.3;701_179.02513_565.88;710_209.11453_575.28;714_1214.26845_580.73;1904_234.22096_580.58;721_608.29114_581.69;726_228.22168_590.51;1912_234.22148_602.44;732_1379.64686_615.29;737_615.30077_616.12;767_243.24532_647.52;1939_561.50676_660.38;788_209.11475_663.55;820_274.27219_699.53;843_698.26951_744.54;847_230.24538_748.61;1980_522.29567_790.19;1983_482.24702_809.77;885_258.2772_838.75;1991_542.31997_846.88;2007_502.28847_877.11;2013_685.33428_884.07;2022_544.33574_897.56;2025_280.26107_901.53;2031_570.35324_908.5;2034_296.25595_912.22;912_286.3087_924.94;2041_897.53246_927.29;916_226.2135_931.49;2054_496.33453_941.01;2071_522.35108_967.83;2083_482.35506_987.63;953_1057.5688_1015.74;954_278.24578_1015.91;2100_228.22982_1015.27;962_443.34761_1023.55;2106_496.37124_1030.26;972_329.20945_1034.55;975_540.39813_1035.94;2112_254.2473_1044.75;2114_238.22241_1044.74;2118_534.35213_1051.55;2120_254.24524_1060;2127_510.3875_1069.92;2126_524.36706_1070.53;2131_242.2454_1074.03;1018_210.18185_1078.78;1019_165.16176_1078.78;1021_179.17593_1078.79;2132_280.26335_1078.77;2147_280.26224_1092.33;1038_268.26225_1098.97;1039_269.26482_1099.24;2155_1059.58428_1101.2;2156_280.26179_1102.9;2169_256.26104_1118.22;1052_539.38398_1121.25;2174_345.23995_1126.32;2180_256.26355_1129.93;1059_257.26346_1131.3;1062_681.4495_1135.36;1063_268.26181_1137.12;2193_593.39834_1142.55;2202_549.37115_1145.7;2203_505.34513_1148.11;1083_248.24319_1149.83;2213_563.55152_1150.38;1096_212.1974_1150.74;1101_283.2835_1150.83;1104_285.28632_1151;2225_282.27977_1164.14;2232_270.27801_1167.37;1122_308.2922_1174.1;2244_270.27745_1183.18;1142_694.44723_1198.07;1147_296.29296_1199.34;1149_297.29503_1199.71;1187_559.88725_1217.32;1214_284.29457_1233.12;1220_838.58772_1236.82;1221_837.58678_1236.88;1223_793.56_1240.39;1233_749.53318_1243.69;2323_310.31029_1243.8;1245_705.50761_1246.95;1248_661.48128_1250.2;1250_662.48547_1250.62;1255_617.45706_1253.47;1257_573.42982_1256.36;2336_310.30884_1256.43;2343_529.40283_1259.39;2348_485.37577_1262.03;1397_598.8996_1305.8;1477_821.591_1327.95;1484_777.56465_1330.88;1485_778.56682_1330.9;1489_733.54019_1333.77;2505_689.51418_1336.65;1494_640.53264_1339.57;2519_645.48851_1339.54;2518_646.49167_1340.12;2524_601.46238_1342.59;1498_557.43608_1345.13;2539_513.40891_1347.58;1499_469.38106_1349.61
108_Conorete.pourtalesi;3.Lower rariphotic;0;33236.44922;549888;236976.4531;41565.28516;0;0;0;5655.224609;23157.34766;74775.53125;0;1370.238281;0;3308.16748;9684.94043;18229.22656;33023.10547;0;2844.575439;0;921.5776978;11987.91113;14016.21777;2167.726318;0;9912.914063;12711.2793;5967.720215;57035.88281;2211.475098;6445.21875;1497.813232;28522.25;0;898.8070068;0;0;587.9085083;3813.552734;737.725769;649.0185547;0;244.1589355;1659.359863;0;0;633.1160278;0;11131.36621;18016.80273;0;0;0;0;0;1292.568726;5342.749512;0;0;4087.661133;2139.776367;1120.608032;4028.164063;1772875.5;0;72.41705322;841.7832642;0;0;3606.582275;0;198.9368896;0;26686.00391;155134.2656;5939.037598;0;0;0;0;0;0;0;0;1424.119751;8359.833984;0;0;0;0;0;363.1882324;54478.48828;38883.30859;0;0;0;0;0;0;0;0;0;15532.83887;4903.294922;0;218240.2188;0;0;138796.5625;17869.875;2472.921143;6537.196777;19268.79883;92089.10156;0;52866.96875;80553.85938;188.7927246;39352.50391;1814.896851;1209.227661;8560.475586;0;104135.625;308974.4688;0;0;2752.355713;0;989820.125;11415.48828;0;56320.98047;0;39914.34766;59688.8125;17789.66016;20231.66016;20942.60156;807933.25;463813.3125;244217.7969;40068.45703;0;227078.4688;55388.42578;0;0;2478495.75;315966.5;12937.60059;46375.28516;34615.30078;67202.14063;85433.83594;25596.25195;895677.1875;34187.11719;2794029;17660.23438;3200215.5;246231.5469;24592.62891;62087.26953;13183.06348;71213.54688;14831.26172;14955.37109;1539361.875;7920.254395;24401.65234;31561.05078;22551.52734;883487.5;36500.17969;31025.77148;9687.469727;31524.10547;34458.40234;244389.0313;29389.6582;20923.04883;27640.15039;16426.85156;43215.33984;30438.375;94918.59375;149035.8906;56892.41406;161503.2344;47282.44141;158976;214649.7344;257857.6406;139673.7969
111_Heterotella;3.Lower rariphotic;0;19541.30273;506072;199239.8281;22866.10352;0;0;0;0;14747.05176;0;663.3067017;1790.202881;0;1862.553711;0;33506.80859;0;10842.30762;0;0;0;11766.15039;2439.941895;7592.045898;0;1076.104126;2066.576172;955.7107544;0;9544.875;4439.551758;1115.950439;5564.495117;405.9997559;2686.310303;0;0;0;291.4555664;1062.86145;18148.02734;0;9714.826172;2097.527588;97.09030151;0;18339.23828;0;3520.110107;1508.334106;0;0;0;0;0;0;50837.70703;0;0;31156.94727;8530.177734;14073.30469;9802.347656;0;0;0;0;0;0;17125.80469;0;0;0;167122.1406;1319676.25;52133.68359;0;0;0;0;0;0;0;0;1024.201782;5522.702637;0;0;0;0;0;905.2537842;394519.6563;18655.82031;0;0;0;0;0;0;0;0;0;3462.560303;5972.445801;0;1404722.375;0;0;736175.375;230.7368164;0;2834.44873;9595.662109;115648.4688;0;148302.2969;454395.4688;0;35117.48047;1382.361328;15379.45313;184267.6719;0;115846.0703;384555.75;0;43396.32422;1001.682129;0;1340381.75;11073.34082;0;128850.1484;0;21393.05859;81391.82031;39091.32031;26316.20508;60373.03125;1017275.375;1187405.375;261126.5313;39914.60938;0;723521.5;82594.04688;5813.274414;0;4818919.5;23162.05273;10012.06348;49194.63672;50340.20703;64140;78397.75781;52863.83203;1761360.5;83958.77344;2835763;22174.80078;9802525;329677.5313;106609.0703;116786.9141;87696.85938;125835.0547;23592.54102;23929.00977;4442322.5;12831.57031;36944.91797;39356.88672;45633.49219;3558564.5;33342.88281;43494.80078;11628.73145;34235.03125;34795.60156;1344383.5;33460.37891;44658.48828;34000.37891;35737.76953;83573.51563;31309.90625;165077.7969;263978.9375;70864.67969;310695.5625;92255.10156;413086.8125;512264.5;637209.1875;386650.9375
405_Dictyoplax.lecus;3.Lower rariphotic;0;21541.00391;492138.375;239236.6875;26326.76367;0;0;0;9720.446289;48204.09766;0;0;0;0;998.3720703;4361.317871;15010.98145;0;598.2148438;8943.996094;0;4263.587402;14784.62207;49675.95313;715.4326172;2551.884766;17341.9707;6722.184082;7572.326172;0;14700.58984;22251.9668;3387.382568;14707.75879;0;1447.036865;0;0;1671.553101;758.2184448;0;0;0;0;3496.781982;359.4017639;0;1367.438965;0;1391.019409;5847.896484;0;0;0;0;0;0;2648.702393;0;0;2141.606934;5435.660156;108.3355713;0;0;0;120.5927734;0;176.656189;0;164.1601563;0;0;0;3508.725586;18946.76758;1161.578735;0;0;0;0;0;0;0;0;851.4000854;5006.849121;0;0;0;0;0;0;1562.644287;60482.22266;0;0;0;0;0;0;0;0;0;15710.68555;2713.09668;0;17300.46094;0;0;7197.355469;47860.22656;0;13013.23926;42407.32813;6107.210449;0;1019.087036;3837.105225;0;21572.6543;29778.06055;30093.3457;6034.32666;0;44405.77734;152519.5938;0;0;0;0;588586;5601.927734;0;20090.80273;0;184871.9844;34420.75781;4875.999023;10251.95117;13503.34766;371063.5313;205503.4688;129453.6094;18554.76758;0;35184.08984;27386.01367;9285.085938;0;811192.4375;113073.1875;5360.854492;14586.45996;41515.87109;54674.55469;80324.97656;22909.95117;409614.3438;24890.61523;1089975.125;10571.48633;945143.125;150958.625;11375.20898;28895.20508;10618.86621;43269.59766;10379.20801;7732.916016;537810.0625;13521.6582;14130.71387;34257.60938;34541.58594;337142.6875;29302.68359;37990.31641;8939.751953;23730.39258;24373.55469;89401.61719;28071.38867;26031.26563;29151.17578;13349.45801;40501.51953;18816.28711;75122.03906;105327.7109;27777.85938;108380.6484;30356.64844;99640.25;90726.34375;75238.10156;40203.05078
406_Dictyoplax.lecus.;3.Lower rariphotic;0;26060.89063;616157.4375;254287.5469;33254.11719;327.4013672;0;0;13442.79883;59833.68359;0;1426.790894;3755.016846;0;18319.64453;0;90241.51563;0;31076.20117;0;0;2753.381592;38721.03516;6041.681152;18172.80664;9700.881836;21479.05469;8379.572266;824.5664063;0;35388.9375;12011.04004;1408.180908;15839.93945;0;627.5794678;927.2918091;94.20678711;82.78225708;152.9249268;109.3543396;11111.07227;503.673584;2897.858643;0;919.2689209;0;4169.644043;3785.807617;1310.311401;0;0;0;0;0;0;0;3993.323486;0;0;2367.640625;0;0;3565.358154;0;0;0;0;78.69189453;0;1081.248657;0;321.9346313;1928.867676;1224.21875;13313.51074;0;0;0;0;0;0;0;0;0;1681.212036;4994.325195;0;1588.955811;450.4076843;2589.257324;48286.125;35946.43359;0;7823.629395;0;0;0;0;0;0;0;0;0;1478.596313;2627.079102;0;7351.175293;975.3515625;0;1629.794678;14351.32715;0;678.5898438;15295.88672;20725.01953;0;3941.910889;358.965332;0;37890.65625;3267.290039;3825.705078;21463.04102;0;93132.54688;286238.1875;0;5487.192383;21565.16797;0;1104131.25;11487.40723;0;50214.05078;0;132999.5938;61531.49219;10117.50586;18179.44531;15644.55664;685686.6875;327951.4063;239724.5;30383.71875;0;68238.80469;72407.49219;2012.712891;0;1428009.625;225491.8438;13582.08887;41090.23438;35110.01563;52023.55469;74130.57813;28769.51367;830947.625;27450.11328;2412335;18576.64258;1760137.5;297996.0625;28122.23828;51585.97656;0;93604.67188;17614.46484;5698.765625;922524.0625;7383.220703;24241.93555;22043.08203;30357.64063;518792.0313;30354.9043;30392.89258;12139.65625;25467.57031;17767.19727;105366.6016;25532.81836;25963.80664;39807.16797;14716.87207;45432.03125;15756.4209;75991.85938;118031.4297;24457.50391;116992.0078;34119.17969;100797.8906;99546.39844;82334.59375;40612.71094
408_Dictyoplax.lecus;3.Lower rariphotic;0;26742.04492;670130.625;266480.125;21927.47461;1968.402832;0;455.3378601;9830.086914;59683.21094;5106.849609;2119.003662;0;0;0;22940.25195;23119.76953;3148.029053;9399.875977;16763.11133;2701.55835;4417.61377;24018.10156;77264.45313;2277.933105;8474.803711;82951.9375;8137.818848;28892.55859;0;23887.66211;39800.0625;5440.834473;24606.31055;2359.931885;4063.305908;0;0;3156.683105;1837.730835;574.2335205;5823.287109;0;3253.418701;14985.00293;687.5535278;0;8224.283203;0;3768.240234;7110.388184;0;0;0;0;0;0;30396.32617;0;0;596.5820313;7708.119629;294.4316406;14306.83594;0;0;596.3891602;1992.054077;4251.311523;0;1546.224731;0;0;0;3188.51123;23427.49414;0;12817.61719;0;0;0;0;0;0;0;3160.302734;7666.149414;0;0;0;0;0;0;451.6962891;21167.26953;0;0;0;0;0;43390.78516;233669.6875;0;34247.63281;7832.521484;819.237915;0;2829.265137;0;0;419.786499;45907.08203;0;4439.13916;47064.71484;9161.511719;0;0;0;0;34120.73438;41876.67969;24093.95313;10637.18555;0;23340.1582;215965.4063;0;6678.283691;0;0;671309.375;6336.652344;0;47333.20703;7771.872559;229859.625;40145.59375;8097.413574;11583.10156;15075.9248;694370.9375;248339.5;176653.5625;22041.0293;0;77798.83594;51969.57813;13037.39258;0;1340998.125;169299.1406;19008.71094;37731.65625;42495.65625;64811.05859;96720.91406;25842.1875;640023.125;30444.32422;1770462.25;14567.0918;1768393.5;200520.2813;17847.26953;46121.625;14187.93555;54826.47656;9463.507813;6525.734375;703991.8125;15994.65332;19119.44922;34521.92578;42820.54297;392213.4688;42793.53906;39413.73828;15657.08301;38044.86719;33985.00781;78410.6875;28073.35156;26838.90234;27015.74414;23171.72461;49041.47656;17537.69141;76278.59375;128122.375;26308.66602;134338.625;36472.51563;104351.3203;105813.9844;83054.92188;41661.54297
410_Verrucocoeloidea.liberatorii;3.Lower rariphotic;4323.681641;29659.7207;407415.7813;175472.9531;27386.02734;0;0;0;8812.236328;76196.33594;0;6743.812988;10929.26465;24682.56445;12540.50586;0;243490.0156;0;50666.21094;0;7621.297852;3790.213379;55417.51172;18728.15039;48230.07031;11832.44629;31436.64648;10301.3291;0;0;49766.46484;30706.87891;4772.899414;40020.47656;0;2086.303955;0;6780.76123;1963.148315;0;171.6965332;3525.476074;0;848.8199463;1898.323364;521.9187012;0;2061.397217;0;2238.871094;159.4324951;312.619812;0;0;0;0;3061.310059;28909.66797;0;0;5212.725586;8117.530273;176.8065491;12636.96387;0;0;0;0;337.5286865;0;2635.5625;0;0;0;7642.493164;57944.43359;3480.94873;0;0;0;0;0;0;0;0;2675.503174;13214.8584;0;0;0;430.4370117;0;0;1497.38562;83639.48438;0;0;0;0;0;0;0;0;0;34385.33203;5974.313965;0;4418.411133;0;0;871.8627319;45073.25391;0;17494.4043;126830.6406;27735.5957;1744.427124;13140.91992;0;0;20726.90039;65688.88281;91203.07813;38264.88281;0;56482.41406;200870.0156;0;14176.48438;0;0;662623.375;9020.544922;0;54197.35156;0;29550.29102;37527.96094;6980.532715;19914.68164;13147.19238;544428.6875;225985.5313;176324.7344;27194;0;120904.6016;46605.63672;12735.74902;0;1645219.875;210024.6875;30783.70117;33284.44141;53770.23828;63320.49609;115935.1641;25897.30859;535500.9375;37041.82422;2242006.25;14009.39355;2267173;197065.0938;19908.79102;44591.71094;18851.85547;53810.9375;8962.03418;13053.63965;1040515.188;10441.67188;24852.06836;44569.53125;49238.20313;485793.125;57035.07031;50885.47656;16955.33203;34538.48047;29881.06836;141136.7188;38050.97266;37281.62109;44804.19922;19995.67773;37415.92188;28262.33008;101039.4531;137725.4844;36360.55859;139209.2969;43715.60156;120425.6641;120078.9766;99342.16406;53229.87109
411_Heterotella.pomponae.corbicula;3.Lower rariphotic;0;20140.25977;428594.875;184511.8438;20882.2793;0;0;0;8026.38916;48761.89063;0;13439.47852;1084.888306;0;996.0322266;0;54590.30469;0;17558.82031;0;0;4257.216309;27568.43945;8687.412109;16648.39453;5847.163574;3599.996826;4491.90332;0;0;12339.08398;10714.66602;0;21178.03711;0;988.6784668;0;0;0;186.7598877;97.99090576;1701.867188;0;579.1583252;244.4455566;0;0;0;0;8327.307617;0;0;0;0;0;0;0;2873.066895;0;0;2122.619629;1465.694946;434.9348755;0;0;0;0;0;1483.678345;0;213.6846161;0;0;0;2009.488525;19012.20898;625.2374878;0;0;0;0;0;0;0;0;778.4003296;4211.762207;0;0;0;0;0;0;0;44688.07422;0;0;0;0;0;0;757.8912354;0;0;10629.12891;2136.886719;0;33332.22656;0;0;17291.01367;2103.300781;0;9034.474609;38629.25781;31008.04688;0;2852.804932;8723.422852;0;20209.23242;3980.050537;4559.500977;26983.05859;0;45631.48438;188371.7969;0;5308.731934;0;0;552389.4375;6970.443848;0;22170.79883;805.480957;25318.8125;33491.37891;4040.178955;12639.35254;8831.665039;500436.9063;220504.2969;140790.9063;20981.0625;0;42175.57813;45469.58594;9591.939453;0;1084224.75;144357.8125;15057.53711;24853.65234;39351.54297;39481.65625;79653.02344;19122.94141;477983.4375;23370.02539;1426512;9333.779297;1104178.5;144331.7813;11956.96777;33206.76172;17253.19531;47263.27734;8134.052246;9188.700195;565382.4375;10251.17578;17583.42773;31885.22656;37472.92578;307920.8438;33196.60938;20774.34375;14337.52637;26555.08984;25336.47266;58025.36328;20251.25781;27703.7832;16723.25781;12709.50977;47093.08594;16678.71875;60070.38672;113175.3906;15563.89746;119480.2578;35315.67969;92443.53906;89353.67969;79864.61719;34055.61719
412_Heterotella.pomponae.corbicula;3.Lower rariphotic;0;20028.77539;487322.125;264574.5625;42114.83984;0;0;0;7508.992188;36314.06641;404.2007446;2708.531982;1746.147217;0;2575.612793;0;63209.76953;0;32345.03711;0;0;1391.135498;25780.44922;28273.7207;14650.55664;4240.663574;10871.67383;5328.571777;828.6115112;0;22871.77734;32654.23633;7529.515625;13411.16406;0;2600.650391;0;404.0552979;1748.902466;1981.953247;1120.939575;1998.833008;0;229.3898621;0;728.1084595;0;304.4182129;0;17635.66992;0;0;0;0;0;0;0;1971.42981;0;0;4919.806641;0;3005.958496;271.4136963;0;0;600.8240967;0;0;0;2444.586182;0;0;0;8627.652344;32383.75586;1345.736938;0;0;0;0;0;124.6806641;0;0;3415.679932;7194.873047;0;0;0;0;0;271.6281738;0;46515.33984;0;0;0;0;0;0;0;0;0;14492.60449;1279.199341;0;2732.893311;0;0;1725.596436;13325.29297;6123.985352;8976.629883;47242.58203;30751.9375;0;3714.619629;96.06542969;0;28780.74609;4388.830566;7368.052246;24451.84961;0;73493.08594;255404.1094;0;5417.136719;0;0;811994.125;7000.878906;0;53329.91406;0;46800.30469;43929.72266;5652.451172;15403.37598;16660.65234;613439.3125;242471.1406;166858.3281;22660.05273;0;113086.6484;45116.78906;4679.983398;0;1504934.125;182700.0938;10608.29102;37687.77734;36081.14453;47618.76563;62714.64453;19932.98242;578409.5625;30858.27344;1561032.625;14264.24512;2032568.375;186098.2031;19850.56836;47339.88281;14178.06348;57174.66016;10428.40723;4226.11084;871762.0625;5319.261719;19259.57227;22063.32813;34858.88672;429757.2813;30537.3418;29130.32422;9414.073242;17643.59375;26091.60742;124176.9766;25713.41016;14021.39844;21413.79297;12155.26172;42715.58594;13310.10742;72234.00781;90509.95313;28101.52734;101585.1328;28568.06055;82329.58594;81708.28125;78782.25;37778.49609
413_Dictyoplax.lecus;3.Lower rariphotic;0;27970.22852;704689.1875;294171.2813;23523.29883;0;0;0;5811.277832;13663.81641;0;0;0;0;0;3532.572021;4055.669434;0;538.9481812;9094.601563;0;917.6904907;11674.44531;51203.6875;1225.078125;0;11788.63965;3886.120361;6753.885254;0;8453.328125;21331.32227;3109.424072;10915.37598;0;0;0;0;118.7842407;419.2780762;207.0753632;0;0;0;138.9924316;0;0;452.0125732;0;0;2017.843018;0;0;0;0;0;0;3018.758057;0;0;511.579834;0;0;0;0;0;0;0;0;0;848.3080444;0;0;0;877.7835083;12924.36914;0;0;0;0;0;0;0;0;0;1715.366089;12632.12207;0;0;0;0;0;0;0;25181.82422;0;0;0;0;0;0;0;0;0;9908.553711;2705.640625;0;50189.75391;0;0;19684.7832;10944.04688;0;6106.963379;12254.01855;25181.51953;0;236.2337646;11300.04785;0;24463.76563;1863.035034;1962.482178;3559.445313;0;59199.66797;211308.75;0;0;0;0;705547.0625;4461.441895;0;27900.57227;0;50952.91797;38789.26953;8526.475586;13694.34766;19733.11719;506716.0938;229393.9063;160086.2344;25790.45508;0;65306.98047;50852.32031;1425.142578;0;941251.9375;140713.8438;13410.39063;25794.69531;41998.82031;59422.97656;82015.89063;26044.60352;391108.4688;27686.85352;1392338.625;9416.31543;1147258.75;185318.0938;21060.82227;42336.50391;0;49794.26172;6798.123535;0;555967.1875;4920.09082;24720.11523;30351.24414;39858.79297;322056.375;37003.86328;38408.64844;12597.2002;29632.25;26566.73828;61313.56641;37214.98047;20074.71875;39534.51563;18118.24805;47612.73828;12823.27148;76892.4375;111708.8906;30354.81836;115885.4141;27823.91797;100960.4375;91100.95313;79499.94531;42794.19922
414_Conorete.pourtalesi;3.Lower rariphotic;0;14363.69727;377434.6875;117822.0625;15131.0166;0;0;0;3109.42334;41389.24219;45433.62109;0;440.5779724;0;1830.897583;8033.22998;12834.97852;9192.166016;0;23276.81836;0;2013.17395;6906.481934;26902.95703;1204.215942;1973.495239;0;25549.74414;5711.634766;48221.83203;0;20751.70313;2689.402588;15661.96582;549.5042725;2080.415527;0;0;0;2927.086426;2874.668457;956.3726807;0;0;992.552124;5658.791504;0;1379.724365;0;4242.45752;1330.195679;0;0;0;0;0;4335.898926;7183.316895;0;0;6011.442871;2093.491943;2445.127686;6375.837402;1088849.125;0;0;0;521.892334;11742.26758;1915.330566;0;0;0;6813.32373;43890.25781;232.6486053;0;0;0;0;0;0;0;0;2528.074463;8662.240234;0;0;0;0;0;0;8407.040039;25148.32227;0;0;0;0;0;0;0;0;0;8473.706055;4755.810547;0;3763.409668;0;0;1561.282837;1458.286621;29252.28516;4726.874023;8651.672852;35455.77734;0;5963.759766;0;0;36632.90625;0;717.5744629;8355.572266;0;83357.42969;322150.75;0;0;0;0;1032758.188;13741.83984;0;81970.77344;0;16938.95508;59408.31641;12157.80469;20303;22327.83203;831466.6875;342766.9063;261542.4688;35223.71094;0;152603.1875;67145.98438;0;0;2125822.5;270014.2813;16063.65039;55878.98438;46432.04297;63927.74609;99415.11719;27472.85742;890186.4375;34698.80859;2854460;16994.79883;2382836.75;265768.5;31579.57422;60306.56641;15013.83203;77328.82813;14521.52441;14854.59863;1196670;8869.567383;17889.16992;38731.82422;46368.58594;605608.3125;42786.12891;50332.69922;10332.23438;28086.9707;35633.625;160558.2813;25257.45117;32749.69141;40325.9375;27253.63281;63389.8125;20185.30859;101607.8984;145308.0781;50880.07813;145281.8438;36947.73047;115553.1641;114581.0469;115056.1641;44933.48438
415_Calthropella..Pachataxa..lithistina;3.Lower rariphotic;0;18991.36719;386170.6875;168600.5781;17486.42969;291080.875;91877.46094;595279.3125;0;0;0;0;1716.689087;5783.570313;0;219911.8906;30912.95508;0;207132.6719;0;8533.591797;4809.853027;12713.01563;3042.73999;4593.843262;0;4568.589355;6752.714355;22653.69141;213.4957275;16855.75781;4939.32373;21541.08008;25494.51367;10417.59961;0;253.7046509;35114.39844;0;1786.560547;3978.968262;43801.28125;0;19423.55078;2834.52417;27743.36523;0;30548.36719;0;1160.051758;479172.5938;0;0;0;0;1267.213745;0;3054.556152;0;0;2132.572754;2525.988037;608.6468506;17515.50781;0;0;6927.247559;1272933.125;2344569;0;2559.342773;0;11047.46289;0;6400.208984;29129.67969;610.6449585;6962775.5;0;0;0;0;0;0;0;0;2627.154785;0;0;0;0;0;0;0;31400.55273;171607.9688;0;0;0;0;0;0;0;0;14945.19922;4680.755859;0;2865.024902;0;0;1472.625488;0;0;8916.574219;0;23377.64844;0;8241.532227;465.4356689;0;27278.09375;7652.873535;16380.33398;11144.68457;0;79856.19531;256014.2813;0;202106.0469;0;477756.6563;851966;7471.469238;0;44236.60938;460739.4063;3305.746094;48017.38672;5819.634766;19252.63477;15555.3584;650582;282037.875;207527.8906;28202.60156;0;98895.9375;40750.58594;8672.114258;0;1345404.5;178744.625;19687.63086;28619.72852;37031.01563;48501.1875;74697.74219;22713.13867;673581.1875;33703.4375;2269298.25;15245.30957;1451482.375;205435.875;21428.05664;43745.95313;20777.58008;64145.35547;15730.37793;3621.625;799165.4375;7452.251465;16376.78223;28615.88477;22820.53125;413367.4375;34069.57031;36066.91016;8996.272461;30365.67969;23487.83398;106516.8516;26361.79102;21061.93945;31192.44141;17559.33984;50246.35547;13702.99707;75434.46094;106847.3984;43806.64453;108069.9063;31375.45117;97029.36719;91978.01563;79595.80469;36017.60938
418_Topsentia.;3.Lower rariphotic;0;25155.49805;289369.0938;156868.8125;17907.01367;0;0;0;0;1406.613281;75275.58594;3781.447021;0;0;0;46681.67969;52472.36719;74854.38281;48906.17578;11224.45703;0;19941.85547;16330.83008;804.7572632;2543.989746;10474.74707;7740.61377;0;39187.53906;161468.5156;11452.28613;53580.81641;3473.402588;34825.125;69778.78906;1616268;179148.6406;0;0;4423.496582;886530;51842.14063;0;10251.4873;17080.36914;163528.4844;0;23634.69336;0;7350.945801;2397.567383;0;0;0;0;0;0;2347.649658;0;0;219.7441406;0;681.7971191;134.1422729;0;0;447.4812622;0;0;0;260.5298767;0;0;0;2214.324219;11128.9707;285.28302;0;0;0;0;0;0;0;0;903.406189;3018.590088;0;0;0;0;0;0;137.9083405;18358.94727;0;0;0;0;0;0;0;0;0;6691.391113;2394.41333;0;18236.02734;0;0;5722.732422;0;0;3827.693115;0;5929.650879;1093.816406;914.6654053;1908.141113;0;29881.81445;1055.704224;2784.534424;3110.392334;0;62687.05469;212185.5781;0;44049.64844;728.4082031;0;753677.3125;6706.884766;0;35502.64063;11178.43457;0;42173.27344;9223.458008;18854.07422;14152.0127;625412.9375;258211.7656;182512.0313;27799.04297;0;76464.21875;70411.03125;0;0;1362755.25;158025.3594;10812.03711;37898.83203;37982.32813;52056.75;73596.65625;32647.12109;681994.625;42472.1875;1961786.375;15969.20313;1611189.125;216342.0313;25517.63672;48798.87109;14230.40039;67686.63281;13168.54102;4286.173828;629126.75;9776.382813;15917.88281;21242.57422;27066.0957;376007.5938;34243.30469;24945.01367;9227.399414;26907.81055;24286.42578;48410.33594;15371.88184;16033.13281;33674.38281;17608.50586;44051.03906;12228.97656;61647.76953;84663.82813;28460.33203;91433.50781;23695.82422;86919.20313;71005.74219;62949.82031;31474.58203
